neutral,maskulinum,femininum,inkl_Doppelpunkt ,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Kosten für die Rechtsvertretung,Anwaltskosten,Anwältinskosten,Anwält:inskosten,Anwält_inskosten,Anwält*inskosten,Anwält/inskosten,AnwältInskosten
arbeitende Klasse,Arbeiterklasse,Arbeiterinklasse,Arbeiter:inklasse,Arbeiter_inklasse,Arbeiter*inklasse,Arbeiter/inklasse,ArbeiterInklasse
Arbeitsplatzattraktivität,Arbeitgeberattraktivität,Arbeitgeberinattraktivität,Arbeitgeber:inattraktivität,Arbeitgeber_inattraktivität,Arbeitgeber*inattraktivität,Arbeitgeber/inattraktivität,ArbeitgeberInattraktivität
"Unternehmensmarke, Employer, Branding",Arbeitgebermarke,Arbeitgeberinmarke,Arbeitgeber:inmarke,Arbeitgeber_inmarke,Arbeitgeber*inmarke,Arbeitgeber/inmarke,ArbeitgeberInmarke
Marketing für Arbeitgebende,Arbeitgebermarketing,Arbeitgeberinmarketing,Arbeitgeberinmarket:ing,Arbeitgeberinmarket_ing,Arbeitgeberinmarket*ing,Arbeitgeberinmarket/ing,ArbeitgeberinmarketIng
"Firmenvorteile, Unternehmensvorteile",Arbeitgebervorteile,Arbeitgeberinvorteile,Arbeitgeber:invorteile,Arbeitgeber_invorteile,Arbeitgeber*invorteile,Arbeitgeber/invorteile,ArbeitgeberInvorteile
ärztlicher Ausweis,Arztausweis,ärztinausweis,ärzt:inausweis,ärzt_inausweis,ärzt*inausweis,ärzt/inausweis,ärztInausweis
"ärztlicher Kontakt, ärztliche Sprechstunde, Besuch der ärztlichen Sprechstunde ärztliche Visite",Arztbesuch,Ärztinbesuch,Ärzt:inbesuch,Ärzt_inbesuch,Ärzt*inbesuch,Ärzt/inbesuch,ÄrztInbesuch
"Entlassungsbrief, Entlassbericht, medizinischer, Abschlussbericht, ärztlicher Bericht, ärztliche Epikrise, ärztlicher Brief, Befundbericht, ärztliches Informationsschreiben, ärztliche Information",Arztbrief,Ärztinbrief,Ärzt:inbrief,Ärzt_inbrief,Ärzt*inbrief,Ärzt/inbrief,ÄrztInbrief
ärztliche Schweigepflicht,Arztgeheimnis,Ärztingeheimnis,Ärzt:ingeheimnis,Ärzt_ingeheimnis,Ärzt*ingeheimnis,Ärzt/ingeheimnis,ÄrztIngeheimnis
"Medizinische Fachangestellte, medizinsches Fachpersonal",Arzthelferinnen,Ärztinhelferinnen,Ärztinhelfer:innen,Ärztinhelfer_innen,Ärztinhelfer*innen,Ärztinhelfer/innen,ÄrztinhelferInnen
"Behandlungstasche, Medizinkoffer, Medizinköfferchen",Arztkoffer /-köfferchen,ärztinkoffer /-köfferchen,ärzt:inkoffer /-köfferchen,ärzt_inkoffer /-köfferchen,ärzt*inkoffer /-köfferchen,ärzt/inkoffer /-köfferchen,ärztInkoffer /-köfferchen
"ärztliche Behandlungskosten, Behandlungskosten,  Kosten für medizinische Leistungen",Arztkosten,ärztinkosten,ärzt:inkosten,ärzt_inkosten,ärzt*inkosten,ärzt/inkosten,ärztInkosten
"Praxis für medizin, ärztliche Praxis",Arztpraxis,ärztinpraxis,ärzt:inpraxis,ärzt_inpraxis,ärzt*inpraxis,ärzt/inpraxis,ärztInpraxis
"Behandlungstermin, Vorsorgetermin, ärztlicher Termin, Gesundheitstermin",Arzttermin,ärztintermin,ärzt:intermin,ärztinterm_in,ärztinterm*in,ärztinterm/in,ärztintermIn
"Wahl des ärztlichen Fachpersonals, Ärtzonwahl",Arztwahl,ärztinwahl,ärzt:inwahl,ärzt_inwahl,ärzt*inwahl,ärzt/inwahl,ärztInwahl
"ärztliches, Zeugnis",Arztzeugnis,ärztinzeugnis,ärzt:inzeugnis,ärzt_inzeugnis,ärzt*inzeugnis,ärzt/inzeugnis,ärztInzeugnis
"Behandlungszimmer, Konsultationszimmer, Sprechzimmer, Zimmer/Raum, Büro, ärztliches Personal",Arztzimmer,ärztinzimmer,ärzt:inzimmer,ärzt_inzimmer,ärzt*inzimmer,ärzt/inzimmer,ärztInzimmer
"auf Seiten der Kundschaft, von Seiten der Kundschaft","auf Kundenseite, von Kundenseite","auf Kundinseite, von Kundinseite","auf Kundinseite, von Kund:inseite","auf Kundinseite, von Kund_inseite","auf Kundinseite, von Kund*inseite","auf Kundinseite, von Kund/inseite","auf Kundinseite, von KundInseite"
"Migrationsamt, Migrationstelle, Zuwanderungsamt, Zuwanderungstelle",Ausländerbehörde,Ausländerinbehörde,Ausländer:inbehörde,Ausländer_inbehörde,Ausländer*inbehörde,Ausländer/inbehörde,AusländerInbehörde
"landwirtschaftlicher, Betrieb",Bauernhof,Bauernhofin,Bauernhof:in,Bauernhof_in,Bauernhof*in,Bauernhof/in,BauernhofIn
"Krieg, der, landbewirtschaftenden, Bevölkerung",Bauernkrieg,Bauernkriegin,Bauernkrieg:in,Bauernkrieg_in,Bauernkrieg*in,Bauernkrieg/in,BauernkriegIn
"Landwirtschaftsverband, Agrarverband, landwirtschaftliche Berufsvertretung, Interessenvertretung, Verband landwirtschaftlicher Vereinigung, Baueronverband",Bauernverband,Bauernverbandin,Bauernverband:in,Bauernverband_in,Bauernverband*in,Bauernverband/in,BauernverbandIn
"verbeamtete Werdegang, Laufbahn im öffentlichen Dienst mit Aussicht auf Verbeamtung",Beamtenlaufbahn,Beamtinnenlaufbahn,Beamt:innenlaufbahn,Beamt_innenlaufbahn,Beamt*innenlaufbahn,Beamt/innenlaufbahn,BeamtInnenlaufbahn
"maßgeschneidert, speziell, passgenau, individuell, einstellbar, spezifisch, selbstdefiniert Personalisiert, anpassbar Personalisierbar",benutzerdefiniert,benutzerdefiniertin,benutzerdefiniert:in,benutzerdefiniert_in,benutzerdefiniert*in,benutzerdefiniert/in,benutzerdefiniertIn
"individülle, Einstellung, Kontöinstellung, Einstellung",Benutzereinstellung,Benutzereinstellungin,Benutzereinstellung:in,Benutzereinstellung_in,Benutzereinstellung*in,Benutzereinstellung/in,BenutzereinstellungIn
"individuelle Entscheidung, Einzelfallentscheidung, persönliche, Einstellung",Benutzerentscheidung,Benutzerentscheidungin,Benutzerentscheidung:in,Benutzerentscheidung_in,Benutzerentscheidung*in,Benutzerentscheidung/in,BenutzerentscheidungIn
Anwendungsfehler,Benutzerfehler,Benutzerfehlerin,Benutzerfehler:in,Benutzerfehler_in,Benutzerfehler*in,Benutzerfehler/in,BenutzerfehlerIn
"praktisch, leicht zu bedienen, bedienungsfreundlich, benutzungsfreundlich",benutzerfreundlich,benutzerfreundlichin,benutzerfreundlich:in,benutzerfreundlich_in,benutzerfreundlich*in,benutzerfreundlich/in,benutzerfreundlichIn
"Nutzungsfreundlichkeit, Benutzungsfreundlichkeit, Anwendungskomfort, Anwendungsfreundlichkeit",Benutzerfreundlichkeit,Benutzerfreundlichkeitin,Benutzerfreundlichkeit:in,Benutzerfreundlichkeit_in,Benutzerfreundlichkeit*in,Benutzerfreundlichkeit/in,BenutzerfreundlichkeitIn
"zielgruppengerechte Funktion, nutzenorientierte Funktion",Benutzerfunktion,Benutzerfunktionin,Benutzerfunktion:in,Benutzerfunktion_in,Benutzerfunktion*in,Benutzerfunktion/in,BenutzerfunktionIn
"Account, Konto, Zugang, Profil",Benutzerkonto,Benutzerkontoin,Benutzerkonto:in,Benutzerkonto_in,Benutzerkonto*in,Benutzerkonto/in,BenutzerkontoIn
"Anmeldename, Nickname, Pseudonym, Login-Name, Login",Benutzername,Benutzernamein,Benutzername:in,Benutzername_in,Benutzername*in,Benutzername/in,BenutzernameIn
"Bedienoberfläche, Benutzungsoberfläche",Benutzeroberfläche,Benutzeroberflächein,Benutzeroberfläche:in,Benutzeroberfläche_in,Benutzeroberfläche*in,Benutzeroberfläche/in,BenutzeroberflächeIn
"Benutzungsordnung, Nutzungsordnung",Benutzerordnung,Benutzerordnungin,Benutzerordnung:in,Benutzerordnung_in,Benutzerordnung*in,Benutzerordnung/in,BenutzerordnungIn
Benutzungsportal,Benutzerportal,Benutzerportalin,Benutzerportal:in,Benutzerportal_in,Benutzerportal*in,Benutzerportal/in,BenutzerportalIn
Benutzungsrechte,Benutzerrechte,Benutzerrechtein,Benutzerrechte:in,Benutzerrechte_in,Benutzerrechte*in,Benutzerrechte/in,BenutzerrechteIn
Interaktionsschnittstelle,Benutzerschnittstelle,Benutzerschnittstellein,Benutzerschnittstelle:in,Benutzerschnittstelle_in,Benutzerschnittstelle*in,Benutzerschnittstelle/in,BenutzerschnittstelleIn
"Kontoverwaltung, Zugangsverwaltung",Benutzerverwaltung,Benutzerverwaltungin,Benutzerverwaltung:in,Benutzerverwaltung_in,Benutzerverwaltung*in,Benutzerverwaltung/in,BenutzerverwaltungIn
"beratende Tätigkeit, Beratung",Beratertätigkeit,Beratertätigkeitin,Beratertätigkeit:in,Beratertätigkeit_in,Beratertätigkeit*in,Beratertätigkeit/in,BeratertätigkeitIn
"Verzeichnis, beratender Personen",Beraterverzeichnis,Beraterverzeichnisin,Beraterverzeichnis:in,Beraterverzeichnis_in,Beraterverzeichnis*in,Beraterverzeichnis/in,BeraterverzeichnisIn
Besuchsanschrift,Besucheranschrift,Besucheranschriftin,Besucheranschrift:in,Besucheranschrift_in,Besucheranschrift*in,Besucheranschrift/in,BesucheranschriftIn
Besuchsgruppe,Besuchergruppe,Besuchergruppein,Besuchergruppe:in,Besuchergruppe_in,Besuchergruppe*in,Besuchergruppe/in,BesuchergruppeIn
"Publikumsmagnet, Besuchsmagnet, Tourismusmagnet, Anziehungspunkt, Sehenswürdigkeit",Besuchermagnet,Besucherinmagnet,Besucher:inmagnet,Besucher_inmagnet,Besucher*inmagnet,Besucher/inmagnet,BesucherInmagnet
Besuchsparkplatz,Besucherparkplatz,Besucherinparkplatz,Besucher:inparkplatz,Besucher_inparkplatz,Besucher*inparkplatz,Besucher/inparkplatz,BesucherInparkplatz
"sinkende Nachfrage, Rückgang der Besuche,  wurde weniger freqüntiert als im Jahr zuvor, Besuchorückgang",Besucherrückgang,Besucherinrückgang,Besucher:inrückgang,Besucher_inrückgang,Besucher*inrückgang,Besucher/inrückgang,BesucherInrückgang
Publikumsstrom,Besucherstrom,Besucherinstrom,Besucher:instrom,Besucher_instrom,Besucher*instrom,Besucher/instrom,BesucherInstrom
"Besuchszahl, Freqüntierung, Klickzahl, Interesse, Inanspruchnahme, Gästezahlen",Besucherzahl,Besucherinzahl,Besucher:inzahl,Besucher_inzahl,Besucher*inzahl,Besucher/inzahl,BesucherInzahl
"Besuchszahlen, Freqüntierung, Klickzahlen, Interesse, verkaufte, Tickets, Gästezahlen",Besucherzahlen,Besucherinnenzahl,Besucher:innenzahl,Besucher_innenzahl,Besucher*innenzahl,Besucher/innenzahl,BesucherInnenzahl
Betriebspflichten,Betreiberpflichten,Betreiberinpflichten,Betreiber:inpflichten,Betreiber_inpflichten,Betreiber*inpflichten,Betreiber/inpflichten,BetreiberInpflichten
Betriebsverantwortung,Betreiberverantwortung,Betreiberinverantwortung,Betreiber:inverantwortung,Betreiber_inverantwortung,Betreiber*inverantwortung,Betreiber/inverantwortung,BetreiberInverantwortung
"Mangel an Bewerbungen, Mangel an Bewerbenden, mangelnde Bewerbungen",Bewerbermangel,Bewerberinmangel,Bewerber:inmangel,Bewerber_inmangel,Bewerber*inmangel,Bewerber/inmangel,BewerberInmangel
Bewerbungszahlen,Bewerberzahlen,Bewerberinzahlen,Bewerber:inzahlen,Bewerber_inzahlen,Bewerber*inzahlen,Bewerber/inzahlen,BewerberInzahlen
"Bundespräsidentschaftswahl, BP-Wahl",Bundespräsidentenwahl,Bundespräsidentinwahl,Bundespräsident:inwahl,Bundespräsident_inwahl,Bundespräsident*inwahl,Bundespräsident/inwahl,BundespräsidentInwahl
"Amt, Gemeindeamt, Verwaltung",Bürgeramt,Bürgerinamt,Bürger:inamt,Bürger_inamt,Bürger*inamt,Bürger/inamt,BürgerInamt
"Direkte Demokratie, Beteiligung der Bevölkerung, öffentlickeitsbeteiligung, Bürgeronbeteiligung",Bürgerbeteiligung,Bürgerinbeteiligung,Bürger:inbeteiligung,Bürger_inbeteiligung,Bürger*inbeteiligung,Bürger/inbeteiligung,BürgerInbeteiligung
"städtisches Service, kommunales Service, Centerbüro, Servicebüro, Stadtteilbüro, Stadtbüro, Nachbarschaftbüro, Gemeindebüro, Kommunalbüro, Informationsbüro, Büro für bürgerliche Belange, Informationsstelle für Ratsuchende, Bürgeronbüro",Bürgerbüro,Bürgerinbüro,Bürger:inbüro,Bürger_inbüro,Bürger*inbüro,Bürger/inbüro,BürgerInbüro
"Gemeindehaus, Stadthaus, Kulturzentrum, Stadtteilzentrum, selbstverwaltetes Zentrum, Bürgeronhaus",Bürgerhaus,Bürgerinhaus,Bürger:inhaus,Bürger_inhaus,Bürger*inhaus,Bürger/inhaus,BürgerInhaus
"Volkskrieg, innerer Krieg, innerer Konflikt",Bürgerkrieg,Bürgerinkrieg,Bürger:inkrieg,Bürger_inkrieg,Bürger*inkrieg,Bürger/inkrieg,BürgerInkrieg
"serviceorientiert, bedürfnisorientiert, publikumsorientiert, menschenorientiert im Kontakt, bürgeronnah",bürgernah,bürgerinnah,bürger:innah,bürger_innah,bürger*innah,bürger/innah,bürgerInnah
"Volksnähe, Bevölkerungsnähe",Bürgernähe,Bürgerinnähe,Bürger:innähe,Bürger_innähe,Bürger*innähe,Bürger/innähe,BürgerInnähe
"Volksrat, Menschenrat, Bewohnendenrat, bürgerlicher Rat, Bevölkerungsrat",Bürgerrat,Bürgerinrat,Bürger:inrat,Bürger_inrat,Bürger*inrat,Bürger/inrat,BürgerInrat
"Rechte des deutschen Staat,  Staatsvolkes, Bügeronrechte",Bürgerrechte,Bürgerinrechte,Bürger:inrechte,Bürger_inrechte,Bürger*inrechte,Bürger/inrechte,BürgerInrechte
Zivilrechtsbewegung,Bürgerrechtsbewegung,Bürgerinrechtsbewegung,Bürger:inrechtsbewegung,Bürger_inrechtsbewegung,Bürger*inrechtsbewegung,Bürger/inrechtsbewegung,BürgerInrechtsbewegung
"Gehweg, Fußweg",Bürgersteig,Bürgerinsteig,Bürger:insteig,Bürger_insteig,Bürger*insteig,Bürger/insteig,BürgerInsteig
"Vertretung, der, öffentlichkeit",Bürgervertretung,Bürgerinvertretung,Bürger:invertretung,Bürger_invertretung,Bürger*invertretung,Bürger/invertretung,BürgerInvertretung
"Citizen, Science, Bürgeronwissenschaft",Bürgerwissenschaft,Bürgerinwissenschaft,Bürger:inwissenschaft,Bürger_inwissenschaft,Bürger*inwissenschaft,Bürger/inwissenschaft,BürgerInwissenschaft
Zivilwissenschaftlich,bürgerwissenschaftlich,bürgerinwissenschaftlich,bürger:inwissenschaftlich,bürger_inwissenschaftlich,bürger*inwissenschaftlich,bürger/inwissenschaftlich,bürgerInwissenschaftlich
"Kulturzentrum, Stadtteilzentrum, selbstverwaltetes Zentrum",Bürgerzentrum,Bürgerinzentrum,Bürger:inzentrum,Bürger_inzentrum,Bürger*inzentrum,Bürger/inzentrum,BürgerInzentrum
"chefärztliche, Behandlung",Chefarztbehandlung,Chefärztinbehandlung,Chefärzt:inbehandlung,Chefärzt_inbehandlung,Chefärzt*inbehandlung,Chefärzt/inbehandlung,ChefärztInbehandlung
"Sache mit oberster Priorität, Angelegenheit mit besonderer Wichtigkeit, dringliche Sache, Chefonsache",Chefsache,Chefinsache,Chef:insache,Chef_insache,Chef*insache,Chef/insache,ChefInsache
Chirurgiestahl,Chirurgenstahl,Chirurgenstahlin,Chirurgenstahl:in,Chirurgenstahl_in,Chirurgenstahl*in,Chirurgenstahl/in,ChirurgenstahlIn
Lehrtätigkeit,Dozententätigkeit,Dozentintätigkeit,Dozent:intätigkeit,Dozent_intätigkeit,Dozent*intätigkeit,Dozent/intätigkeit,DozentIntätigkeit
Bevölkerungsdichte,Einwohnerdichte,Einwohnerindichte,Einwohner:indichte,Einwohner_indichte,Einwohner*indichte,Einwohner/indichte,EinwohnerIndichte
"Bevölkerungszahl, Anzahl der Einwohnenden",Einwohnerzahl,Einwohnerinzahl,Einwohner:inzahl,Einwohner_inzahl,Einwohner*inzahl,Einwohner/inzahl,EinwohnerInzahl
"basiert, auf, Fachexpertiese",expertenbasiert,expertinbasiert,expert:inbasiert,expert_inbasiert,expert*inbasiert,expert/inbasiert,expertInbasiert
"Fachgruppe, Arbeitsgruppe",Expertengruppe,Expertingruppe,Expert:ingruppe,Expert_ingruppe,Expert*ingruppe,Expert/ingruppe,ExpertIngruppe
"Expertiseinterview, Interview mit Fachleuten",Experteninterview,Expertininterview,Expertin:interview,Expertin_interview,Expertin*interview,Expertin/interview,ExpertinInterview
"Fachkommission, Kommission von Fachleuten",Expertenkommision,Expertinkommision,Expert:inkommision,Expert_inkommision,Expert*inkommision,Expert/inkommision,ExpertInkommision
Rating von Fachleuten,Expertenrating,Expertinrating,Expertinrat:ing,Expertinrat_ing,Expertinrat*ing,Expertinrat/ing,ExpertinratIng
"Schätzung von Fachleuten, nach Einschätzung von Fachleuten, Expertise, Expertonschätzung",Expertenschätzung,Expertinschätzung,Expert:inschätzung,Expert_inschätzung,Expert*inschätzung,Expert/inschätzung,ExpertInschätzung
"Fachgremium, Expertisestab",Expertenstab,Expertinstab,Expert:instab,Expert_instab,Expert*instab,Expert/instab,ExpertInstab
Fachstandard,Expertenstandard,Expertinstandard,Expert:instandard,Expert_instandard,Expert*instandard,Expert/instandard,ExpertInstandard
Fachtagung,Expertentagung,Expertintagung,Expert:intagung,Expert_intagung,Expert*intagung,Expert/intagung,ExpertIntagung
Expertise,Expertentum,Expertintum,Expert:intum,Expert_intum,Expert*intum,Expert/intum,ExpertIntum
Fachvortrag,Expertenvortrag,Expertinvortrag,Expert:invortrag,Expert_invortrag,Expert*invortrag,Expert/invortrag,ExpertInvortrag
"Fachwissen, Expertise",Expertenwissen,Expertinwissen,Expert:inwissen,Expert_inwissen,Expert*inwissen,Expert/inwissen,ExpertInwissen
Cockpit,Fahrerhaus,Fahrerinhaus,Fahrer:inhaus,Fahrer_inhaus,Fahrer*inhaus,Fahrer/inhaus,FahrerInhaus
"Fahrkabine, Steuerungskabine",Fahrerkabine,Fahrerinkabine,Fahrerinkab:ine,Fahrerinkab_ine,Fahrerinkab*ine,Fahrerinkab/ine,FahrerinkabIne
"Cockpitsitz, Sitz der fahrenden Person, Fahreronsitz",Fahrersitz,Fahrerinsitz,Fahrer:insitz,Fahrer_insitz,Fahrer*insitz,Fahrer/insitz,FahrerInsitz
"lenkradseitige Tür, Tür vorne links, Fahrerontür",Fahrertür,Fahrerintür,Fahrer:intür,Fahrer_intür,Fahrer*intür,Fahrer/intür,FahrerIntür
Abteil Personenbeförderungsräume,Fahrgastraum,Fahrgastinraum,Fahrgast:inraum,Fahrgast_inraum,Fahrgast*inraum,Fahrgast/inraum,FahrgastInraum
"Fahrrad Fahrende, wer mit dem Fahrrad unterwegs ist, Fahrradfahreron",Fahrradfahrer,Fahrradfahrerin,Fahrradfahrer:in,Fahrradfahrer_in,Fahrradfahrer*in,Fahrradfahrer/in,FahrradfahrerIn
Forschungsgemeinde,Forschergemeinde,Forscheringemeinde,Forscheringeme:inde,Forscheringeme_inde,Forscheringeme*inde,Forscheringeme/inde,ForscheringemeInde
Forschungskolloquium,Forscherkolloquium,Forscherinkolloquium,Forscher:inkolloquium,Forscher_inkolloquium,Forscher*inkolloquium,Forscher/inkolloquium,ForscherInkolloquium
Forschungsteam,Forscherteam,Forscherinteam,Forscher:inteam,Forscher_inteam,Forscher*inteam,Forscher/inteam,ForscherInteam
"Fototeam, Fotografieteam",Fotografenteam,Fotografinnenteam,Fotograf:innenteam,Fotograf_innenteam,Fotograf*innenteam,Fotograf/innenteam,FotografInnenteam
"Haarschneidetermin, Frisiertermin",Friseurtermin,Friseurintermin,Friseurinterm:in,Friseurinterm_in,Friseurinterm*in,Friseurinterm/in,FriseurintermIn
Ampel Personenampel,Fußgängerampel,Fußgängerinampel,Fußgänger:inampel,Fußgänger_inampel,Fußgänger*inampel,Fußgänger/inampel,FußgängerInampel
"Zebrastreifen, Straßenpassierstreifen",Fußgängerstreifen,Fußgängerinstreifen,Fußgänger:instreifen,Fußgänger_instreifen,Fußgänger*instreifen,Fußgänger/instreifen,FußgängerInstreifen
überqürung,Fußgängerüberweg,Fußgängerinüberweg,Fußgänger:inüberweg,Fußgänger_inüberweg,Fußgänger*inüberweg,Fußgänger/inüberweg,FußgängerInüberweg
Gehweg,Fußgängerweg,Fußgängerinweg,Fußgänger:inweg,Fußgänger_inweg,Fußgänger*inweg,Fußgänger/inweg,FußgängerInweg
"Flanierzone, Einkaufsstraße, Einkaufszone, verkehrsfreie Zone, verkehrsberuhigter Bereich",Fußgängerzone,Fußgängerinzone,Fußgänger:inzone,Fußgänger_inzone,Fußgänger*inzone,Fußgänger/inzone,FußgängerInzone
Sonderbeitrag,Gastbeitrag,Gastinbeitrag,Gast:inbeitrag,Gast_inbeitrag,Gast*inbeitrag,Gast/inbeitrag,GastInbeitrag
Gründungszeit,Gründerzeit,Gründerinzeit,Gründer:inzeit,Gründer_inzeit,Gründer*inzeit,Gründer/inzeit,GründerInzeit
"Gründungszentrum, Innovationszentrum, Technologiezentrum",Gründerzentrum,Gründerinzentrum,Gründer:inzentrum,Gründer_inzentrum,Gründer*inzentrum,Gründer/inzentrum,GründerInzentrum
Hilfesystem,Helfersystem,Helferinsystem,Helfer:insystem,Helfer_insystem,Helfer*insystem,Helfer/insystem,HelferInsystem
Ingenieursberuf,Ingenieurberuf,Ingenieurinberuf,Ingenieur:inberuf,Ingenieur_inberuf,Ingenieur*inberuf,Ingenieur/inberuf,IngenieurInberuf
"Technikwissenschaften, technische Wissenschaften, Technik",Ingenieurwesen,Ingenieurinwesen,Ingenieur:inwesen,Ingenieur_inwesen,Ingenieur*inwesen,Ingenieur/inwesen,IngenieurInwesen
"besitzgeführter, besitzgeleiteter",inhabergeführt,inhaberingeführt,inhaber:ingeführt,inhaber_ingeführt,inhaber*ingeführt,inhaber/ingeführt,inhaberIngeführt
"besiztgeführter, Einzelhandel",inhabergeführter Einzelhandel,inhaberingeführter Einzelhandel,inhaberingeführter E:inzelhandel,inhaberingeführter E_inzelhandel,inhaberingeführter E*inzelhandel,inhaberingeführter E/inzelhandel,inhaberingeführter EInzelhandel
Wechsel der Inhaberschaft/Inhabendenschaft,Inhaberwechsel,Inhaberinwechsel,Inhaber:inwechsel,Inhaber_inwechsel,Inhaber*inwechsel,Inhaber/inwechsel,InhaberInwechsel
"Personalfrage, K-Frage",Kandidatenfrage,Kandidatenfragein,Kandidatenfrage:in,Kandidatenfrage_in,Kandidatenfrage*in,Kandidatenfrage/in,KandidatenfrageIn
Personalvorschlag,Kandidatenvorschlag,Kandidatenvorschlagin,Kandidatenvorschlag:in,Kandidatenvorschlag_in,Kandidatenvorschlag*in,Kandidatenvorschlag/in,KandidatenvorschlagIn
K-Frage,Kanzler-Frage,Kanzler-Fragein,Kanzler-Frage:in,Kanzler-Frage_in,Kanzler-Frage*in,Kanzler-Frage/in,Kanzler-FrageIn
"Amt, des, Regierungsoberhauptes",Kanzleramt,Kanzleramtin,Kanzleramt:in,Kanzleramt_in,Kanzleramt*in,Kanzleramt/in,KanzleramtIn
"KfZ-Handwerks-Innung, KfZ-Innung, KfZ-Mechanik-Innung, Innung der KfZ-Mechanik",KfZ-Mechaniker-Innung,KfZ-Mechaniker-Innungin,KfZ-Mechaniker-Innung:in,KfZ-Mechaniker-Innung_in,KfZ-Mechaniker-Innung*in,KfZ-Mechaniker-Innung/in,KfZ-Mechaniker-InnungIn
