neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Die lehrende Person erklärte das Thema sehr anschaulich.,Der Dozent erklärte das Thema sehr anschaulich.,Die Dozentin erklärte das Thema sehr anschaulich.,Dier Dozent:in erklärte das Thema sehr anschaulich.,Dier Dozent_in erklärte das Thema sehr anschaulich.,Dier Dozent*in erklärte das Thema sehr anschaulich.,Dier Dozent/in erklärte das Thema sehr anschaulich.,Dier DozentIn erklärte das Thema sehr anschaulich.
Die Dozierenden der Universität haben Expertise in ihrem Gebiet.,Die Dozenten der Universität sind Experten auf ihrem Gebiet.,Die Dozentinnen der Universität sind Expertinnen auf ihrem Gebiet.,Die Dozent:innen der Universität sind Expert:innen auf ihrem Gebiet.,Die Dozent_innen der Universität sind Expert_innen auf ihrem Gebiet.,Die Dozent*innen der Universität sind Expert*innen auf ihrem Gebiet.,Die Dozent/innen der Universität sind Expert/innen auf ihrem Gebiet.,Die DozentInnen der Universität sind ExpertInnen auf ihrem Gebiet.
Eine dritte Person kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Ein Dritter kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Eine Dritte kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Ein:e Dritte:r kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Ein_e Dritte:r kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Ein*e Dritte:r kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Ein/e Dritte:r kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,EinE DritteR kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.
"... Gibt es einen Konflikt zwischen zwei WG-Bewohnenden, kann die Unterstützung durch eine dritte Person hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnern, kann die Unterstützung durch einen Dritten hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eine Dritte hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eine:n Dritte:n hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eine_n Dritte_n hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eine*n Dritte*n hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eine/n Dritte/n hilfreich sein.","... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eineN DritteN hilfreich sein."
Das drittanbietende Unternehmen stellte zusätzliche Softwarelösungen bereit.,Der Drittanbieter stellte zusätzliche Softwarelösungen bereit.,Die Drittanbieterin stellte zusätzliche Softwarelösungen bereit.,Dier Drittanbieter:in stellte zusätzliche Softwarelösungen bereit.,Dier Drittanbieter_in stellte zusätzliche Softwarelösungen bereit.,Dier Drittanbieter*in stellte zusätzliche Softwarelösungen bereit.,Dier Drittanbieter/in stellte zusätzliche Softwarelösungen bereit.,Dier DrittanbieterIn stellte zusätzliche Softwarelösungen bereit.
Die Dienstaufsichtsperson lobte die Mitarbeitenden für ihre harte Arbeit.,Der Dienstherr lobte die Mitarbeiter für ihre harte Arbeit.,Die Dienstherrin lobte die Mitarbeiterinnen für ihre harte Arbeit.,Dier Dienstherr:in lobte die Mitarbeiter:innen für ihre harte Arbeit.,Dier Dienstherr_in lobte die Mitarbeiter_innen für ihre harte Arbeit.,Dier Dienstherr*in lobte die Mitarbeiter*innen für ihre harte Arbeit.,Dier Dienstherr/in lobte die Mitarbeiter/innen für ihre harte Arbeit.,Dier DienstherrIn lobte die MitarbeiterInnen für ihre harte Arbeit.
"Die Person, die eine Diplomarbeit schreibt verteidigte erfolgreich ihre Abschlussarbeit.",Der Diplomand verteidigte erfolgreich seine Abschlussarbeit.,Die Diplomandin verteidigte erfolgreich ihre Abschlussarbeit.,Dier Diplomand:in verteidigte erfolgreich deren Abschlussarbeit.,Dier Diplomand_in verteidigte erfolgreich deren Abschlussarbeit.,Dier Diplomand*in verteidigte erfolgreich deren Abschlussarbeit.,Dier Diplomand/in verteidigte erfolgreich deren Abschlussarbeit.,Dier DiplomandIn verteidigte erfolgreich deren Abschlussarbeit.
Die Diskutierenden tauschten ihre Meinungen lebhaft aus.,Die Diskutanten tauschten ihre Meinungen lebhaft aus.,Die Diskutantinnen tauschten ihre Meinungen lebhaft aus.,Die Diskutant:innen tauschten ihre Meinungen lebhaft aus.,Die Diskutant_innen tauschten ihre Meinungen lebhaft aus.,Die Diskutant*innen tauschten ihre Meinungen lebhaft aus.,Die Diskutant/innen tauschten ihre Meinungen lebhaft aus.,Die DiskutantInnen tauschten ihre Meinungen lebhaft aus.
Die Überwachungsfachkraft koordinierte die Einsätze der Rettungskräfte.,Der Dispatcher koordinierte die Einsätze der Rettungskräfte.,Die Dispatcherin koordinierte die Einsätze der Rettungskräfte.,Dier Dispatcher:in koordinierte die Einsätze der Rettungskräfte.,Dier Dispatcher_in koordinierte die Einsätze der Rettungskräfte.,Dier Dispatcher*in koordinierte die Einsätze der Rettungskräfte.,Dier Dispatcher/in koordinierte die Einsätze der Rettungskräfte.,Dier DispatcherIn koordinierte die Einsätze der Rettungskräfte.
Die in der Disposition tätige Person plante die täglichen Lieferungen.,Der Disponent plante die täglichen Lieferungen.,Die Disponentin plante die täglichen Lieferungen.,Dier Disponent:in plante die täglichen Lieferungen.,Dier Disponent_in plante die täglichen Lieferungen.,Dier Disponent*in plante die täglichen Lieferungen.,Dier Disponent/in plante die täglichen Lieferungen.,Dier DisponentIn plante die täglichen Lieferungen.
Im Promotionskolleg fand ein intensiver Austausch statt.,Im Doktorandenkolleg fand ein intensiver Austausch statt.,Im Doktorandinnenkolleg fand ein intensiver Austausch statt.,Im Doktorand:innenkolleg fand ein intensiver Austausch statt.,Im Doktorand_innenkolleg fand ein intensiver Austausch statt.,Im Doktorand*innenkolleg fand ein intensiver Austausch statt.,Im Doktorand/innenkolleg fand ein intensiver Austausch statt.,Im DoktorandInnenkolleg fand ein intensiver Austausch statt.
Der Person im Besitz von Dokumenten präsentierte deren Ausweis bei der Kontrolle.,Der Dokumenteninhaber präsentierte seinen Ausweis bei der Kontrolle.,Die Dokumenteninhaberin präsentierte ihren Ausweis bei der Kontrolle.,Dier Dokumenteninhaber:in präsentierte deren Ausweis bei der Kontrolle.,Dier Dokumenteninhaber_in präsentierte deren Ausweis bei der Kontrolle.,Dier Dokumenteninhaber*in präsentierte deren Ausweis bei der Kontrolle.,Dier Dokumenteninhaber/in präsentierte deren Ausweis bei der Kontrolle.,Dier DokumenteninhaberIn präsentierte deren Ausweis bei der Kontrolle.
Deren Lehrtätigkeit umfasst Vorlesungen und Seminare.,Seine Dozententätigkeit umfasst Vorlesungen und Seminare.,Ihre Dozentintätigkeit umfasst Vorlesungen und Seminare.,Deren Dozent:intätigkeit umfasst Vorlesungen und Seminare.,Deren Dozent_intätigkeit umfasst Vorlesungen und Seminare.,Deren Dozent*intätigkeit umfasst Vorlesungen und Seminare.,Deren Dozent/intätigkeit umfasst Vorlesungen und Seminare.,Deren DozentIntätigkeit umfasst Vorlesungen und Seminare.
Die herrschende Drachenperson kämpfte tapfer gegen das Ungeheuer.,Der Drachenlord kämpfte tapfer gegen das Ungeheuer.,Die Drachenlady kämpfte tapfer gegen das Ungeheuer.,Dier Drachenherrscher:in kämpfte tapfer gegen das Ungeheuer.,Dier Drachenherrscher_in kämpfte tapfer gegen das Ungeheuer.,Dier Drachenherrscher*in kämpfte tapfer gegen das Ungeheuer.,Dier Drachenherrscher/in kämpfte tapfer gegen das Ungeheuer.,Dier DrachenherrscherIn kämpfte tapfer gegen das Ungeheuer.
Jede dritte Person in der Umfrage war mit dem Service zufrieden.,Jeder Dritte in der Umfrage war mit dem Service zufrieden.,Jede Dritte in der Umfrage war mit dem Service zufrieden.,Jede:r Dritte in der Umfrage war mit dem Service zufrieden.,Jede:r Dritte in der Umfrage war mit dem Service zufrieden.,Jede:r Dritte in der Umfrage war mit dem Service zufrieden.,Jede:r Dritte in der Umfrage war mit dem Service zufrieden.,JedeR Dritte in der Umfrage war mit dem Service zufrieden.
Die Person nippte an ihrem Tee und lächelte zufrieden.,Er nippte an seinem Tee und lächelte zufrieden ,Sie nippte damenhaft an ihren Tee und lächelte zufrieden ,Die Person nippte an ihrem Tee und lächelte zufrieden.,Die Person nippte an ihrem Tee und lächelte zufrieden.,Die Person nippte an ihrem Tee und lächelte zufrieden.,Die Person nippte an ihrem Tee und lächelte zufrieden.,Die Person nippte an ihrem Tee und lächelte zufrieden.
Das Begleitprogramm bot den Gästen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Herrenprogramm bot den Gästen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Damenprogramm bot den Gästinnen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den Gäst:innen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den Gäst_innen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den Gäst*innen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den Gäst/innen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den GästInnen eine Vielzahl spannender Aktivitäten während des Hauptevents.
Das Land der Literatur,Das Land der Dichter und Denker,Das Land der Dichterinnen und Denkerinnen,Das Land der Dichter:innen und Denker:innen,Das Land der Dichter_innen und Denker_innen,Das Land der Dichter*innen und Denker*innen,Das Land der Dichter/innen und Denker/innen,Das Land der DichterInnen und DenkerInnen
"Die Vorgesetztengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Dienstherrengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Dienstherrinnengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Dienstherr:innengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Dienstherr_innengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Dienstherr*innengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Dienstherr/innengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die DienstherrInnengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen."
Die herausgebende Person veröffentlichte ihr neues Buch.,Der Editor veröffentlichte sein neues Buch.,Die Editorin veröffentlichte ihr neues Buch.,Dier Editor:in veröffentlichte deren neues Buch.,Dier Editor_in veröffentlichte deren neues Buch.,Dier Editor*in veröffentlichte deren neues Buch.,Dier Editor/in veröffentlichte deren neues Buch.,Dier EditorIn veröffentlichte deren neues Buch.
Die Ehe teilende Person lud deren Familie zur Feier ein.,Der Ehegatte lud seine Familie zur Feier ein.,Die Ehegattin lud ihre Familie zur Feier ein.,Dier Ehegatt:in lud deren Familie zur Feier ein.,Dier Ehegatt_in lud deren Familie zur Feier ein.,Dier Ehegatt*in lud deren Familie zur Feier ein.,Dier Ehegatt/in lud deren Familie zur Feier ein.,Dier EhegattIn lud deren Familie zur Feier ein.
Die Eheleute planten deren Urlaub gemeinsam.,Die Ehegatten planten ihren Urlaub gemeinsam.,Die Ehegattinnen planten ihren Urlaub gemeinsam.,Die Ehegatt:innen planten ihren Urlaub geme:insam.,Die Ehegatt_innen planten ihren Urlaub geme_insam.,Die Ehegatt*innen planten ihren Urlaub geme*insam.,Die Ehegatt/innen planten ihren Urlaub geme/insam.,Die EhegattInnen planten ihren Urlaub gemeInsam.
Die geehelichte Person zeigte stolz deren Ehering.,Der Ehepartner zeigte stolz seinen Ehering.,Die Ehepartnerin zeigte stolz ihren Ehering.,Die Ehepartnerin zeigte stolz ihren Eher:ing.,Die Ehepartnerin zeigte stolz ihren Eher_ing.,Die Ehepartnerin zeigte stolz ihren Eher*ing.,Die Ehepartnerin zeigte stolz ihren Eher/ing.,Die Ehepartnerin zeigte stolz ihren EherIng.
"Die ehrenamtlich tätige Person engagierte sich für die lokale Gemeinschaft.
","Der Ehrenamtler engagierte sich für die lokale Gemeinschaft.
","Die Ehrenamtlerin engagierte sich für die lokale Gemeinschaft.
","Dier Ehrenamtler:in engagierte sich für die lokale Gemeinschaft.
","Dier Ehrenamtler_in engagierte sich für die lokale Gemeinschaft.
","Dier Ehrenamtler*in engagierte sich für die lokale Gemeinschaft.
","Dier Ehrenamtler/in engagierte sich für die lokale Gemeinschaft.
","Dier EhrenamtlerIn engagierte sich für die lokale Gemeinschaft.
"
Dey hat vor kurzem deren Eigentum renoviert.,Der Eigentümer hat vor kurzem renoviert,Die Eigentümerin hat vor kurzem renoviert,Dier Eigentümer:in hat vor kurzem renoviert.,Dier Eigentümer_in hat vor kurzem renoviert.,Dier Eigentümer*in hat vor kurzem renoviert.,Dier Eigentümer/in hat vor kurzem renoviert.,Dier EigentümerIn hat vor kurzem renoviert.
Die einladende Person schickte die Einladungen per Post.,Der Einlader schickte die Einladungen per Post.,Die Einladerin schickte die Einladungen per Post.,Dier Einlader:in schickte die Einladungen per Post.,Dier Einlader_in schickte die Einladungen per Post.,Dier Einlader*in schickte die Einladungen per Post.,Dier Einlader/in schickte die Einladungen per Post.,Dier EinladerIn schickte die Einladungen per Post.
"Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht man nur, wenn es einem selbst schon mal so gegangen ist.","Das versteht frau nur, wenn es einer selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist."
Der Einstiegskurs in Fotografie war sehr informativ.,Der Einsteigerkurs in Fotografie war sehr informativ.,Der Einsteigerinkurs in Fotografie war sehr informativ.,Der Einsteiger:inkurs in Fotografie war sehr informativ.,Der Einsteiger_inkurs in Fotografie war sehr informativ.,Der Einsteiger*inkurs in Fotografie war sehr informativ.,Der Einsteiger/inkurs in Fotografie war sehr informativ.,Der EinsteigerInkurs in Fotografie war sehr informativ.
Der Mensch mit Migrationshintergrund /-geschichte /-biografie lernte schnell die Sprache seines neuen Heimatlandes.,Der Einwanderer lernte schnell die Sprache seines neuen Heimatlandes.,Die Einwanderin lernte schnell die Sprache ihres neuen Heimatlandes.,Dier Einwander:in lernte schnell die Sprache deren neuen Heimatlandes.,Dier Einwander_in lernte schnell die Sprache deren neuen Heimatlandes.,Dier Einwander*in lernte schnell die Sprache deren neuen Heimatlandes.,Dier Einwander/in lernte schnell die Sprache deren neuen Heimatlandes.,Dier EinwanderIn lernte schnell die Sprache deren neuen Heimatlandes.
Die Einwohnenden der Stadt feierten das jährliche Stadtfest.,Die Einwohner der Stadt feierten das jährliche Stadtfest.,Die Einwohnerinnen der Stadt feierten das jährliche Stadtfest.,Die Einwohner:innen der Stadt feierten das jährliche Stadtfest.,Die Einwohner_innen der Stadt feierten das jährliche Stadtfest.,Die Einwohner*innen der Stadt feierten das jährliche Stadtfest.,Die Einwohner/innen der Stadt feierten das jährliche Stadtfest.,Die EinwohnerInnen der Stadt feierten das jährliche Stadtfest.
Die Bevölkerungsdichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohnerdichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohnerindichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohner:indichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohner_indichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohner*indichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohner/indichte in der Innenstadt ist viel höher als in den Vororten.,Die EinwohnerIndichte in der Innenstadt ist viel höher als in den Vororten.
